datetime	do
2020-01-20 17:00	6.04600
2020-01-20 17:30	5.89600
2020-01-20 18:00	6.05100
2020-01-20 18:30	5.71900
2020-01-20 19:00	5.77900
2020-01-20 19:30	5.72700
2020-01-20 20:00	5.74700
2020-01-20 20:30	5.67800
2020-01-20 21:00	5.57100
2020-01-20 21:30	5.46100
2020-01-20 22:00	5.43200
2020-01-20 22:30	5.46600
2020-01-20 23:00	5.64100
2020-01-20 23:30	5.68700
2020-01-21 00:00	5.61800
2020-01-21 00:30	5.64600
2020-01-21 01:00	5.74000
2020-01-21 01:30	5.75900
2020-01-21 02:00	5.68800
2020-01-21 02:30	5.62600
2020-01-21 03:00	5.42200
2020-01-21 03:30	5.30100
2020-01-21 04:00	5.30800
2020-01-21 04:30	5.22900
2020-01-21 05:00	5.15700
2020-01-21 05:30	5.15000
2020-01-21 06:00	5.14100
2020-01-21 06:30	5.14900
2020-01-21 07:00	5.18600
2020-01-21 07:30	5.13600
2020-01-21 08:00	5.11200
2020-01-21 08:30	5.20000
2020-01-21 09:00	5.25500
2020-01-21 09:30	5.24200
2020-01-21 10:00	5.26700
2020-01-21 10:30	5.28800
2020-01-21 11:00	5.32600
2020-01-21 11:30	5.42900
2020-01-21 12:00	5.70100
2020-01-21 12:30	5.95500
2020-01-21 13:00	6.01600
2020-01-21 13:30	6.38900
2020-01-21 14:00	6.67300
2020-01-21 14:30	7.10500
2020-01-21 15:00	7.02400
2020-01-21 15:30	7.42400
2020-01-21 16:00	7.48800
2020-01-21 16:30	7.57100
2020-01-21 17:00	7.32800
2020-01-21 17:30	6.94900
2020-01-21 18:00	6.61300
2020-01-21 18:30	6.18400
2020-01-21 19:00	6.36500
2020-01-21 19:30	6.28200
2020-01-21 20:00	6.24300
2020-01-21 20:30	6.31200
2020-01-21 21:00	6.41000
2020-01-21 21:30	6.31200
2020-01-21 22:00	6.13800
2020-01-21 22:30	5.97600
2020-01-21 23:00	5.90600
2020-01-21 23:30	5.93600
2020-01-22 00:00	6.08400
2020-01-22 00:30	6.04600
2020-01-22 01:00	5.99500
2020-01-22 01:30	5.99000
2020-01-22 02:00	6.06200
2020-01-22 02:30	6.06100
2020-01-22 03:00	5.97000
2020-01-22 03:30	5.88800
2020-01-22 04:00	5.79900
2020-01-22 04:30	5.77200
2020-01-22 05:00	5.77000
2020-01-22 05:30	5.64400
2020-01-22 06:00	5.61200
2020-01-22 06:30	5.49300
2020-01-22 07:00	5.45300
2020-01-22 07:30	5.54000
2020-01-22 08:00	5.60400
2020-01-22 08:30	5.63700
2020-01-22 09:00	5.79300
2020-01-22 09:30	5.97200
2020-01-22 10:00	6.08900
2020-01-22 10:30	6.21700
